mlbid,fullname,firstname,lastname,position,priority_pos,projection_name,ip,w,sv,k,era,whip,w_zscore,sv_zscore,k_zscore,era_zscore,whip_zscore,unadjusted_zsum,replacement_pos,adjustment_zscore,final_zsum,value,hit_pitch
453214.0,Steven Wright,Steven,Wright,SP,SP,steamer,146.0,9.0,0.0,111.0,4.53,1.39,0.8097026953962569,-0.6192333315455485,0.2324503794056841,-1.6594069105394909,-1.3162764492556909,-2.552763616538789,SP,0.6596060982602885,-1.8931575182785005,-19.2,p
593958.0,Eduardo Rodriguez,Eduardo,Rodriguez,SP,SP,steamer,139.0,9.0,0.0,120.0,4.36,1.33,0.8097026953962569,-0.6192333315455485,0.3953793635645628,-1.3821174190178511,-1.044634767414677,-1.8409034590172568,SP,0.6596060982602885,-1.1812973607569683,-11.6,p
456034.0,David Price,David,Price,SP,SP,steamer,133.0,9.0,0.0,128.0,3.53,1.16,0.8097026953962569,-0.6192333315455485,0.540205127261344,-0.6979128641338616,-0.5847831322449693,-0.5520215052667784,SP,0.6596060982602885,0.10758459299351009,2.1,p
518886.0,Craig Kimbrel,Craig,Kimbrel,RP,RP,steamer,65.0,4.0,35.0,87.0,3.06,1.17,-0.42282572042891214,2.2077014429015205,-0.20202691168465914,0.657919508667739,0.5912284211818444,2.8319967406375324,RP,-0.07979051039360607,2.7522062302439263,30.4,p
523260.0,Joe Kelly,Joe,Kelly,RP,RP,steamer,65.0,4.0,4.0,68.0,3.43,1.23,-0.42282572042891214,-0.2961550716087406,-0.5459881004645142,0.5374133237906981,0.5326007200650786,-0.19495484864639023,P,0.43465781012771054,0.2397029614813203,3.6,p
452718.0,Kyle Kendrick,Kyle,Kendrick,SP,SP,steamer,65.0,3.0,0.0,38.0,5.16,1.44,-0.6693314035939459,-0.6192333315455485,-1.0890847143274434,-0.026034513607358183,0.3274037661563992,-2.076280196917897,SP,0.6596060982602885,-1.4166740986576083,-14.1,p
519141.0,Drew Pomeranz,Drew,Pomeranz,SP,SP,steamer,64.0,4.0,0.0,63.0,3.99,1.32,-0.42282572042891214,-0.6192333315455485,-0.6365042027750024,0.3750180867069186,0.464502390306374,-0.8390427777361704,SP,0.6596060982602885,-0.17943667947588193,-0.9,p
592804.0,Tyler Thornburg,Tyler,Thornburg,RP,RP,steamer,55.0,3.0,0.0,55.0,4.11,1.31,-0.6693314035939459,-0.6192333315455485,-0.7813299664717834,0.5218803020393955,0.6513593966862193,-0.896655002885663,RP,-0.07979051039360607,-0.9764455132792691,-9.4,p
598264.0,Matt Barnes,Matt,Barnes,RP,RP,steamer,45.0,2.0,0.0,45.0,3.98,1.33,-0.9158370867589798,-0.6192333315455485,-0.9623621710927598,0.757130421788962,0.834758871974563,-0.9055432956337631,RP,-0.07979051039360607,-0.9853338060273692,-9.5,p
605476.0,Carson Smith,Carson,Smith,RP,RP,steamer,40.0,2.0,0.0,40.0,3.47,1.28,-0.9158370867589798,-0.6192333315455485,-1.052878273403248,0.9590597045558952,0.9647921065027738,-0.6640968806491073,RP,-0.07979051039360607,-0.7438873910427134,-6.9,p
472551.0,Fernando Abad,Fernando,Abad,RP,RP,steamer,35.0,2.0,0.0,32.0,4.09,1.36,-0.9158370867589798,-0.6192333315455485,-1.1977040371000292,0.9372633675822932,1.0189099844567113,-0.7766011033655529,RP,-0.07979051039360607,-0.856391613759159,-8.1,p
592390.0,Heath Hembree,Heath,Hembree,RP,RP,steamer,30.0,2.0,0.0,28.0,4.23,1.33,-0.9158370867589798,-0.6192333315455485,-1.2701169189484196,1.0186864654721857,1.134662112302633,-0.6518387594781292,RP,-0.07979051039360607,-0.7316292698717353,-6.8,p
598271.0,Brian Johnson,Brian,Johnson,SP,SP,steamer,28.0,2.0,0.0,20.0,4.86,1.5,-0.9158370867589798,-0.6192333315455485,-1.4149426826452007,0.9726886784796187,1.1030933501628364,-0.8742310723072739,SP,0.6596060982602885,-0.21462497404698544,-1.3,p
664701.0,Ben Taylor,Ben,Taylor,RP,RP,steamer,25.0,1.0,0.0,24.0,4.03,1.34,-1.1623427699240136,-0.6192333315455485,-1.34252980079681,1.1497150199226898,1.2308716731096332,-0.7435192092340492,RP,-0.07979051039360607,-0.8233097196276553,-7.8,p
598287.0,Noe Ramirez,Noe,Ramirez,RP,RP,steamer,20.0,1.0,0.0,18.0,4.32,1.38,-1.1623427699240136,-0.6192333315455485,-1.451149123569396,1.221617878674687,1.3195648619785862,-0.691542484385685,RP,-0.07979051039360607,-0.7713329947792911,-7.2,p
582494.0,Robby Scott,Robby,Scott,RP,RP,steamer,15.0,1.0,0.0,13.0,4.03,1.32,-1.1623427699240136,-0.6192333315455485,-1.5416652258798842,1.3516443026896232,1.4368202642121175,-0.5347767604477056,RP,-0.07979051039360607,-0.6145672708413117,-5.6,p
519443.0,Brandon Workman,Brandon,Workman,RP,RP,steamer,10.0,0.0,0.0,8.0,4.45,1.39,-1.4088484530890473,-0.6192333315455485,-1.6321813281903723,1.4315642049261637,1.5255134530810706,-0.7031854548177339,RP,-0.07979051039360607,-0.7829759652113399,-7.4,p
644443.0,Luis Ysla,Luis,Ysla,RP,RP,steamer,10.0,0.0,0.0,9.0,4.48,1.5,-1.4088484530890473,-0.6192333315455485,-1.6140781077282746,1.4300610092728119,1.5089774348173675,-0.7031214482726911,RP,-0.07979051039360607,-0.7829119586662971,-7.4,p
606273.0,Roenis Elias,Roenis,Elias,SP,SP,steamer,9.0,1.0,0.0,7.0,4.74,1.47,-1.1623427699240136,-0.6192333315455485,-1.65028454865247,1.4407838049333883,1.5355853914780533,-0.4554914537105905,SP,0.6596060982602885,0.20411464454969797,3.2,p
596064.0,Henry Owens,Henry,Owens,SP,SP,steamer,9.0,1.0,0.0,8.0,4.98,1.53,-1.1623427699240136,-0.6192333315455485,-1.6321813281903723,1.429960796229255,1.5274677097849627,-0.45632892364571664,SP,0.6596060982602885,0.20327717461457184,3.2,p
573016.0,Kyle Martin,Kyle,Martin,RP,RP,steamer,1.0,0.0,0.0,1.0,4.12,1.34,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6338943398673242,1.7143247161648079,-0.43876660002751944,RP,-0.07979051039360607,-0.5185571104211255,-4.5,p
475857.0,Ryan Cook,Ryan,Cook,RP,RP,steamer,1.0,0.0,0.0,1.0,4.28,1.4,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6330926355188702,1.7134227515322422,-0.44047026900853914,RP,-0.07979051039360607,-0.5202607794021452,-4.6,p
466948.0,Jean Machi,Jean,Machi,RP,RP,steamer,1.0,0.0,0.0,1.0,4.38,1.41,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.632591570301086,1.7132724240934813,-0.44112166166508415,RP,-0.07979051039360607,-0.5209121720586902,-4.6,p
460008.0,Anthony Varvaro,Anthony,Varvaro,RP,RP,steamer,1.0,0.0,0.0,1.0,4.45,1.43,-1.4088484530890473,-0.6192333315455485,-1.7589038714250558,1.6322408246486373,1.7129717692159594,-0.44177306219505486,RP,-0.07979051039360607,-0.5215635725886609,-4.6,p
500779.0,Jose Quintana,Jose,Quintana,SP,SP,steamer,204.0,12.0,0.0,181.0,3.81,1.25,1.5492197448913583,-0.6192333315455485,1.4996758117525186,-2.2399410718639796,-2.0988810954451314,-1.9091599422107826,SP,0.6596060982602885,-1.249553843950494,-12.3,p
448306.0,James Shields,James,Shields,SP,SP,steamer,164.0,7.0,0.0,131.0,5.08,1.48,0.3166913290661893,-0.6192333315455485,0.5945147886476368,-2.519936315561653,-1.9142790006466999,-4.142242530040075,SP,0.6596060982602885,-3.482636431779787,-36.2,p
607074.0,Carlos Rodon,Carlos,Rodon,SP,SP,steamer,143.0,8.0,0.0,146.0,3.96,1.32,0.5631970122312231,-0.6192333315455485,0.8660630955791013,-1.1828938884269506,-1.1031121410926819,-1.4759792532548566,SP,0.6596060982602885,-0.8163731549945681,-7.7,p
